Country,Providence/State,Latitude,Longitude,January,February,March,April,May,June,July,August,September,October,November,December
Mongolia,,46.8625,103.8467,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Montenegro,,42.7087,19.3744,0.00%,0.00%,1.83%,2.17%,2.78%,2.19%,1.56%,2.07%,1.57%,1.64%,1.42%,1.43%
Morocco,,31.7917,-7.0926,0.00%,0.00%,5.83%,3.84%,2.63%,1.82%,1.45%,1.82%,1.77%,1.69%,1.64%,1.68%
Mozambique,,-18.6657,35.5296,0.00%,0.00%,0.00%,0.00%,0.79%,0.67%,0.59%,0.59%,0.70%,0.71%,0.83%,0.88%
Namibia,,-22.9671,18.493,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.47%,0.99%,1.07%,1.03%,1.05%,0.87%
Nepal,,28.3949,84.124,0.00%,0.00%,0.00%,0.00%,0.51%,0.21%,0.28%,0.58%,0.64%,0.55%,0.65%,0.71%
Netherlands,Aruba,12.5211,-69.9683,0.00%,0.00%,0.00%,2.00%,2.97%,2.91%,2.48%,0.50%,0.68%,0.84%,0.93%,0.92%
,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.83%,1.96%,1.85%,1.65%
,Curacao,12.1696,-68.99,0.00%,0.00%,9.09%,6.25%,5.26%,4.35%,3.45%,1.47%,0.26%,0.10%,0.17%,0.34%
,Sint Maarten,18.0425,-63.0548,0.00%,0.00%,0.00%,17.33%,19.48%,19.48%,11.72%,3.57%,3.30%,2.66%,2.35%,1.87%
,Netherlands,52.1326,5.2913,0.00%,0.00%,8.25%,12.20%,12.82%,12.16%,11.32%,8.81%,5.30%,2.11%,1.79%,1.44%
New Zealand,,-40.9006,174.886,0.00%,0.00%,0.15%,1.28%,1.46%,1.44%,1.41%,1.26%,1.35%,1.28%,1.21%,1.17%
Nicaragua,,12.8654,-85.2072,0.00%,0.00%,20.00%,21.43%,4.61%,3.29%,3.16%,3.05%,2.92%,2.83%,2.77%,2.74%
Niger,,17.6078,8.0817,0.00%,0.00%,11.11%,4.45%,6.68%,6.23%,6.08%,5.87%,5.76%,5.66%,4.65%,3.09%
Nigeria,,9.082,8.6753,0.00%,0.00%,1.48%,3.00%,2.82%,2.30%,2.04%,1.88%,1.89%,1.82%,1.74%,1.49%
North Macedonia,,41.6086,21.7453,0.00%,0.00%,2.74%,5.26%,5.97%,4.77%,4.52%,4.20%,4.11%,3.15%,2.85%,2.99%
Norway,,60.472,8.4689,0.00%,0.00%,0.84%,2.71%,2.80%,2.82%,2.76%,2.45%,1.95%,1.39%,0.92%,0.89%
Oman,,21.4735,55.9754,0.00%,0.00%,0.52%,0.47%,0.43%,0.44%,0.53%,0.80%,0.95%,1.06%,1.15%,1.16%
Pakistan,,30.3753,69.3451,0.00%,0.00%,1.27%,2.30%,2.13%,2.06%,2.14%,2.13%,2.07%,2.04%,2.02%,2.10%
Panama,,8.538,-80.7821,0.00%,0.00%,2.54%,2.88%,2.50%,1.88%,2.18%,2.15%,2.11%,2.02%,1.86%,1.66%
Papua New Guinea,,-6.315,143.9555,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.78%,1.09%,1.31%,1.19%,1.07%,1.15%
Paraguay,,-23.4425,-58.4438,0.00%,0.00%,4.62%,3.76%,1.12%,0.77%,0.92%,1.85%,2.10%,2.22%,2.13%,2.10%
Peru,,-9.19,-75.0152,0.00%,0.00%,2.82%,2.84%,2.74%,3.39%,4.67%,4.45%,3.99%,3.82%,3.73%,3.72%
Philippines,,12.8797,121.774,0.00%,33.33%,4.22%,6.69%,5.29%,3.37%,2.17%,1.61%,1.77%,1.90%,1.94%,1.94%
Poland,,51.9194,19.1451,0.00%,0.00%,1.43%,5.00%,4.47%,4.25%,3.76%,3.03%,2.75%,1.55%,1.73%,2.16%
Portugal,,39.3999,-8.2245,0.00%,0.00%,2.15%,3.95%,4.34%,3.74%,3.40%,3.14%,2.61%,1.77%,1.51%,1.68%
Qatar,,25.3548,51.1839,0.00%,0.00%,0.26%,0.07%,0.07%,0.12%,0.16%,0.17%,0.17%,0.18%,0.17%,0.17%
Romania,,45.9432,24.9668,0.00%,0.00%,3.65%,5.86%,6.57%,6.12%,4.60%,4.14%,3.78%,2.89%,2.38%,2.47%
Russia,,61.524,105.3188,0.00%,0.00%,0.73%,1.01%,1.16%,1.44%,1.66%,1.73%,1.76%,1.73%,1.74%,1.79%
Rwanda,,-1.9403,29.8739,0.00%,0.00%,0.00%,0.00%,0.27%,0.20%,0.25%,0.39%,0.60%,0.68%,0.83%,0.93%
Saint Kitts and Nevis,,17.3578,-62.783,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Saint Lucia,,13.9094,-60.9789,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.77%,1.64%
Saint Vincent and the Grenadines,,12.9843,-61.2872,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Samoa,,-13.759,-172.1046,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
San Marino,,43.9424,12.4578,0.00%,0.00%,11.02%,7.21%,6.26%,6.02%,6.01%,5.87%,5.74%,4.53%,2.85%,2.51%
Sao Tome and Principe,,0.1864,6.6131,0.00%,0.00%,0.00%,0.00%,2.48%,1.82%,1.72%,1.67%,1.65%,1.69%,1.72%,1.68%
Saudi Arabia,,23.8859,45.0792,0.00%,0.00%,0.64%,0.71%,0.59%,0.86%,1.04%,1.23%,1.42%,1.56%,1.65%,1.71%
Senegal,,14.4974,-14.4524,0.00%,0.00%,0.00%,0.96%,1.15%,1.65%,2.00%,2.09%,2.08%,2.07%,2.07%,2.09%
Serbia,,44.0165,21.0059,0.00%,0.00%,1.78%,1.99%,2.13%,1.90%,2.24%,2.27%,2.23%,1.75%,0.91%,0.93%
Seychelles,,-4.6796,55.492,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Sierra Leone,,8.4606,-11.7799,0.00%,0.00%,0.00%,5.65%,5.34%,4.10%,3.68%,3.46%,3.23%,3.13%,3.07%,2.97%
Singapore,,1.3521,103.8198,0.00%,0.00%,0.32%,0.09%,0.07%,0.06%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%
Slovakia,,48.669,19.699,0.00%,0.00%,0.00%,1.65%,1.84%,1.68%,1.27%,0.84%,0.47%,0.38%,0.79%,1.06%
Slovenia,,46.1512,14.9955,0.00%,0.00%,1.87%,6.37%,7.33%,6.94%,5.52%,4.61%,2.64%,0.99%,1.89%,2.23%
Solomon Islands,,-9.6457,160.1562,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Somalia,,5.1521,46.1996,0.00%,0.00%,0.00%,4.66%,3.95%,3.08%,2.90%,2.96%,2.76%,2.64%,2.54%,2.71%
South Africa,,-30.5595,22.9375,0.00%,0.00%,0.37%,1.82%,2.09%,1.76%,1.62%,2.26%,2.48%,2.66%,2.73%,2.66%
South Sudan,,6.877,31.307,0.00%,0.00%,0.00%,0.00%,1.01%,1.89%,1.98%,1.86%,1.81%,2.00%,1.96%,1.78%
Spain,,40.4637,-3.7492,0.00%,0.00%,8.82%,11.50%,11.33%,11.38%,9.86%,6.29%,4.13%,3.03%,2.73%,2.69%
Sri Lanka,,7.8731,80.7718,0.00%,0.00%,1.40%,1.06%,0.61%,0.54%,0.39%,0.39%,0.38%,0.19%,0.49%,0.47%
Sudan,,12.8628,30.2176,0.00%,0.00%,28.57%,7.01%,5.69%,6.18%,6.41%,6.24%,6.13%,6.06%,7.01%,6.30%
Suriname,,3.9193,-56.0278,0.00%,0.00%,0.00%,10.00%,4.35%,2.52%,1.58%,1.76%,2.13%,2.13%,2.20%,1.99%
Sweden,,60.1282,18.6435,0.00%,0.00%,7.96%,13.68%,12.09%,8.12%,7.48%,6.88%,6.35%,4.81%,2.75%,2.09%
Switzerland,,46.8182,8.2275,0.00%,0.00%,2.61%,5.87%,6.22%,6.19%,5.62%,4.76%,3.89%,1.49%,1.47%,1.68%
Syria,,34.8021,38.9968,0.00%,0.00%,20.00%,6.98%,4.10%,3.23%,5.68%,4.05%,4.76%,5.03%,5.29%,6.15%
Taiwan*,,23.6978,120.9605,0.00%,2.56%,1.55%,1.40%,1.58%,1.57%,1.50%,1.43%,1.36%,1.26%,1.04%,0.89%
Tajikistan,,38.861,71.2761,0.00%,0.00%,0.00%,0.00%,1.20%,0.88%,0.81%,0.79%,0.78%,0.74%,0.71%,0.68%
Tanzania,,-6.369,34.8888,0.00%,0.00%,5.26%,3.33%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%,4.13%
Thailand,,15.87,100.9925,0.00%,0.00%,0.61%,1.83%,1.85%,1.83%,1.75%,1.70%,1.65%,1.56%,1.50%,0.98%
Timor-Leste,,-8.8742,125.7275,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Togo,,8.6195,0.8248,0.00%,0.00%,2.94%,7.76%,2.94%,2.15%,2.02%,2.00%,2.69%,2.45%,2.15%,1.91%
Trinidad and Tobago,,10.6918,-61.2225,0.00%,0.00%,3.45%,6.90%,6.84%,6.15%,4.73%,1.25%,1.68%,1.90%,1.80%,1.76%
Tunisia,,33.8869,9.5375,0.00%,0.00%,2.54%,4.12%,4.46%,4.26%,3.26%,2.02%,1.44%,2.20%,3.37%,3.39%
Turkey,,38.9637,35.2433,0.00%,0.00%,1.58%,2.64%,2.77%,2.57%,2.46%,2.36%,2.57%,2.73%,2.15%,0.93%
US,,37.0902,-95.7129,0.00%,4.00%,2.75%,6.13%,6.00%,4.86%,3.39%,3.05%,2.87%,2.53%,1.97%,1.74%
Uganda,,1.3733,32.2903,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.26%,1.08%,0.92%,0.89%,1.00%,0.73%
Ukraine,,48.3794,31.1656,0.00%,0.00%,2.64%,2.51%,2.99%,2.59%,2.40%,2.10%,1.97%,1.85%,1.69%,1.75%
United Arab Emirates,,23.4241,53.8478,0.00%,0.00%,0.90%,0.84%,0.76%,0.65%,0.58%,0.55%,0.44%,0.37%,0.34%,0.33%
United Kingdom,Anguilla,18.2206,-63.0686,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Bermuda,32.3078,-64.7505,0.00%,0.00%,0.00%,5.26%,6.43%,6.16%,5.77%,5.23%,4.97%,4.52%,3.46%,1.72%
,British Virgin Islands,18.4207,-64.64,0.00%,0.00%,0.00%,16.67%,12.50%,12.50%,12.50%,2.13%,1.41%,1.41%,1.41%,1.16%
,Cayman Islands,19.3133,-81.2546,0.00%,0.00%,7.14%,1.37%,0.71%,0.50%,0.49%,0.49%,0.47%,0.42%,0.73%,0.63%
,Channel Islands,49.37228,-2.36435,0.00%,0.00%,2.13%,7.45%,8.04%,8.23%,8.01%,7.68%,7.22%,5.71%,3.70%,1.93%
,Falkland Islands (Malvinas),-51.7963,-59.5236,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Gibraltar,36.1408,-5.3536,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.49%,0.36%
,Isle of Man,54.2361,-4.5481,0.00%,0.00%,0.00%,6.67%,7.14%,7.14%,7.14%,7.14%,7.06%,6.80%,6.78%,6.68%
,Montserrat,16.7425,-62.1874,0.00%,0.00%,0.00%,9.09%,9.09%,9.09%,8.33%,7.69%,7.69%,7.69%,7.69%,7.69%
,Turks and Caicos Islands,21.694,-71.7979,0.00%,0.00%,0.00%,8.33%,8.33%,4.88%,1.87%,0.79%,0.87%,0.85%,0.80%,0.71%
,United Kingdom,55.3781,-3.436,0.00%,0.00%,6.37%,15.03%,14.62%,14.24%,13.59%,12.36%,9.30%,4.60%,3.59%,3.09%
Uruguay,,-32.5228,-55.7658,0.00%,0.00%,0.30%,2.64%,2.67%,2.88%,2.77%,2.76%,2.35%,1.86%,1.31%,0.94%
Uzbekistan,,41.3775,64.5853,0.00%,0.00%,1.16%,0.44%,0.41%,0.31%,0.59%,0.76%,0.83%,0.85%,0.83%,0.80%
Vanuatu,,-15.3767,166.9592,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Venezuela,,6.4238,-66.5897,0.00%,0.00%,2.22%,4.80%,0.93%,0.87%,0.88%,0.83%,0.84%,0.87%,0.88%,0.90%
Vietnam,,14.0583,108.2772,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,3.26%,3.20%,2.97%,2.60%,2.43%
West Bank and Gaza,,31.9466,35.3027,0.00%,0.00%,0.84%,0.58%,0.67%,0.33%,0.69%,0.67%,0.78%,0.90%,0.85%,0.98%
Yemen,,15.5527,48.5164,0.00%,0.00%,0.00%,33.33%,24.77%,26.94%,28.53%,28.91%,28.86%,29.04%,28.25%,28.99%
Zambia,,-13.1339,27.8493,0.00%,0.00%,0.00%,2.83%,0.66%,1.51%,2.53%,2.38%,2.25%,2.12%,2.02%,1.93%
Zimbabwe,,-19.0154,29.1549,0.00%,0.00%,12.50%,10.00%,2.25%,1.18%,2.11%,3.11%,2.91%,2.90%,2.77%,2.67%
